ticker,yearReport,lengthReport,category,data
HPG,2019,2,Net Profit For the Year,2050015651770.0
HPG,2019,2,Attributable to parent company,2035194136815.0
HPG,2019,2,EPS_basis,0.0
HPG,2019,1,Minority Interest,0.0
HPG,2019,1,Net Profit/Loss before tax,2170940228673.0
HPG,2019,1,Provision for credit losses,-26374697757.0
HPG,2019,1,Revenue YoY (%),0.15333616413497803
HPG,2019,1,Revenue (Bn. VND),15179972721712.0
HPG,2019,1,Attribute to parent company (Bn. VND),1800794242450.0
HPG,2019,1,Attribute to parent company YoY (%),-0.18562306132231252
HPG,2019,1,Financial Income,91858567531.0
HPG,2019,1,Interest Expenses,-185199221610.0
HPG,2019,1,Net Sales,14963250507448.0
HPG,2019,1,Gross Profit,2620914017844.0
HPG,2019,1,Financial Expenses,-240829520527.0
HPG,2019,1,General & Admin Expenses,-121634447535.0
HPG,2019,1,Operating Profit/Loss,2157706122746.0
HPG,2019,1,Net income from associated companies,0.0
HPG,2019,1,Other Income/Expenses,-114886658964.0
HPG,2019,1,Cost of Sales,-12342336489604.0
HPG,2019,1,Selling Expenses,-192602494567.0
HPG,2019,1,Sales,15179972721712.0
HPG,2019,1,Sales deductions,-216722214264.0
HPG,2019,1,Gain/(loss) from joint ventures,0.0
HPG,2019,1,Other income,128120764891.0
HPG,2019,1,Net other income/expenses,13234105927.0
HPG,2019,1,Profit before tax,2170940228673.0
HPG,2019,1,Tax For the Year,-360490438869.0
HPG,2019,1,Business income tax - current,-388694004651.0
HPG,2019,1,Business income tax - deferred,28203565782.0
HPG,2019,1,Net Profit For the Year,1810449789804.0
HPG,2019,1,Attributable to parent company,1800794242450.0
HPG,2019,1,EPS_basis,0.0
HPG,2018,4,Minority Interest,0.0
HPG,2018,4,Net Profit/Loss before tax,2037329601363.0
HPG,2018,4,Provision for credit losses,-18173662868.0
HPG,2018,4,Revenue YoY (%),0.12870856725817703
HPG,2018,4,Revenue (Bn. VND),14592380278150.0
HPG,2018,4,Attribute to parent company (Bn. VND),1764220746300.0
